,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
10327,42,8,12,1737.612,139.7206
10328,39,7,2,568.898,29.942
10329,29,7,2,908.3955,47.1571552631579
10332,28,7,2,1032.548,50.42432631578948
10349,29,6,4,2752.447,119.1043105263158
10363,40,7,12,920.7419,269.1590078947369
10365,36,8,1,766.6232,20.174294736842104
10379,38,6,0,0.0,0.0
10381,24,5,3,908.3955,47.81028947368421
10382,28,7,2,2197.646,78.00708421052632
10393,25,7,2,915.9191,44.730055263157894
10396,30,6,0,0.0,0.0
10397,40,8,4,1232.502,88.30182894736842
10398,38,7,3,2183.574,89.79721052631578
10449,32,6,2,612.3848,32.23077894736842
10452,37,7,2,3428.529,157.10371052631578
10457,42,8,4,28780.5,888.8598684210527
10465,26,6,2,3039.246,79.98015789473685
10466,44,7,4,12723.6,450.3088394736842
10479,31,7,2,2752.447,98.24364736842105
10505,34,8,3,883.5764,63.96128684210527
10506,27,7,0,0.0,0.0
10511,40,8,2,1065.164,51.282642105263164
10517,39,7,2,2183.574,80.71448421052632
10518,30,7,2,908.3955,23.905144736842104
10519,22,7,2,2659.79,127.18086842105262
10528,43,8,2,1820.585,71.16214210526316
10529,24,7,1,1220.255,32.11197368421053
10532,32,7,2,883.5764,43.057352631578944
10539,28,5,3,1512.188,63.04643157894737
10540,27,6,2,908.3955,41.03461315789474
10547,34,8,0,0.0,0.0
10549,32,6,3,883.5764,67.13094210526316
10550,33,6,3,2779.551,155.9771947368421
10551,43,8,8,18180.95,731.7129947368421
10553,26,5,7,3428.529,252.91873684210526
10554,30,6,1,908.3955,23.905144736842104
10555,32,7,0,0.0,0.0
10559,35,7,2,936.7831,47.90419736842105
10560,33,8,2,13713.99,381.06876842105265
10561,37,7,4,766.6232,54.606023684210534
10562,34,7,2,883.5764,46.50402105263158
10564,34,7,2,948.8341,24.969318421052634
10566,29,5,2,8485.756,241.87317105263153
10576,35,8,2,860.1321,44.393884210526316
10581,35,8,1,17718.99,466.28921052631586
10585,25,6,2,2924.216,122.57155263157895
10586,32,7,2,783.823,20.626921052631577
10604,22,7,1,3403.051,89.55397368421052
10605,32,6,0,0.0,0.0
10609,38,8,1,980.8116,25.81083157894737
10612,26,6,3,23787.35,740.1124868421051
10614,27,5,2,6565.992,188.90465263157895
10616,37,7,1,5652.202,148.74215789473683
10620,35,7,0,0.0,0.0
10621,38,8,2,783.823,39.36868421052632
10622,32,7,4,2407.153,99.2773
10625,33,7,3,3428.529,133.65075263157897
10627,29,7,2,783.823,41.25384210526315
10628,32,7,0,0.0,0.0
10629,23,7,0,0.0,0.0
10630,28,6,3,908.3955,61.38867105263157
10631,37,7,3,886.2238,43.9486
10632,39,8,6,2659.79,135.63223421052632
10637,29,5,3,948.8341,61.259002631578944
10639,42,8,3,2091.083,99.10793947368421
10640,27,6,6,883.5764,62.168068421052624
10647,44,8,2,1737.612,64.4683947368421
10651,26,5,1,13713.99,360.89447368421054
10654,42,8,3,2091.083,106.65016315789474
10656,28,5,1,583.4285,15.353381578947369
10657,28,5,2,24647.41,672.5032868421052
10658,47,8,7,211093.9,11249.306418421053
10660,31,6,1,1228.72,32.334736842105265
10661,41,8,0,0.0,0.0
10665,27,6,0,0.0,0.0
10666,37,7,1,0.0,0.0
10667,39,8,0,0.0,0.0
10669,37,8,1,3858.662,101.54373684210526
10674,28,5,2,2752.447,95.68482631578948
10675,30,7,0,0.0,0.0
10676,35,8,7,4860.206,318.7373052631579
10677,38,8,5,984.5185,73.06553684210526
10680,36,7,4,883.5764,86.85261052631579
10686,31,7,5,3428.529,231.72839210526317
10688,39,8,3,13713.99,375.2854052631579
10689,39,8,4,833.0093,63.175139473684204
10690,40,8,4,1244.881,51.50178947368422
10693,28,7,1,38833.58,1021.9363157894737
10694,37,7,5,766.6232,52.40507368421053
10695,37,7,2,650.9198,34.258936842105264
10696,39,8,5,6565.992,390.0033421052632
10697,32,8,0,0.0,0.0
10698,44,8,3,904.32,65.05173684210526
10701,26,7,4,3428.529,194.3044210526316
10702,32,6,7,2752.447,184.3441052631579
10703,36,7,2,766.6232,40.34858947368421
10988,39,8,1,650.9198,17.129468421052632
10991,26,6,3,883.5764,63.6006
11005,25,7,1,826.8355,21.75882894736842
11006,32,8,1,6565.992,172.78926315789474
11277,28,6,0,0.0,0.0
11293,32,6,2,783.823,20.626921052631577
11296,33,7,2,766.6232,40.34858947368421
11298,51,8,3,1326.125,90.09362105263158
11366,29,6,0,0.0,0.0
11377,45,7,2,17718.99,489.54122105263167
11379,33,5,2,1915.432,73.65811578947368
11380,25,7,2,980.8116,51.17801578947368
11381,33,7,2,2779.551,92.95142105263157
11385,28,6,2,783.823,40.80121578947368
11388,23,7,2,908.3955,41.03461315789474
11393,37,7,2,10616.46,452.16978947368415
11394,36,8,1,883.5764,23.25201052631579
11403,32,8,2,1033.331,48.95175
11409,37,5,3,8485.756,278.3008736842105
11416,22,7,2,783.823,41.25384210526315
11418,40,7,1,883.5764,23.25201052631579
11419,37,7,5,880.2792,57.73046842105263
11426,33,8,0,0.0,0.0
11429,44,7,10,2173.083,148.0334105263158
11439,35,7,0,0.0,0.0
11446,27,5,1,883.5764,23.25201052631579
11460,22,6,1,908.3955,23.905144736842104
11466,26,6,0,0.0,0.0
11467,37,8,4,13713.99,423.73129210526315
11468,33,8,4,883.5764,86.37526578947369
11490,23,7,3,2752.447,115.13003157894737
11495,36,7,1,28780.5,757.3815789473684
11516,45,7,6,13713.99,548.6881947368422
11518,26,5,1,818.2755,21.533565789473684
11521,33,7,2,1006.32,49.117160526315786
11522,30,7,0,0.0,0.0
11523,31,6,1,766.6232,20.174294736842104
11528,24,5,4,8485.756,270.6645131578947
11534,32,8,1,38833.58,1021.9363157894737
11548,34,7,0,0.0,0.0
11549,41,8,2,907.7149,47.77446842105263
11553,30,5,1,4860.206,127.90015789473685
11555,30,6,1,2183.574,57.46247368421053
11556,40,8,3,8485.756,423.8792631578947
11563,38,7,3,3428.529,125.69366842105264
11570,21,7,4,3428.529,235.95904736842107
11571,30,7,0,0.0,0.0
11577,31,7,0,0.0,0.0
11579,29,5,1,0.0,0.0
11589,29,7,3,7973.084,248.91136052631578
11591,36,8,0,0.0,0.0
11593,28,5,3,1220.255,78.6159947368421
11596,46,8,1,883.5764,23.25201052631579
11597,37,7,1,3428.529,90.22444736842105
11598,25,7,4,883.5764,57.1052447368421
11608,32,6,2,904.32,47.049905263157896
11609,34,7,2,1201.671,56.27510789473684
11610,37,7,3,2752.447,149.86751578947369
11615,27,6,3,1994.814,73.19852894736842
11616,28,5,3,2752.447,161.9951
11617,26,7,4,1733.503,103.09655789473685
11624,23,7,1,2752.447,72.4328157894737
11627,34,7,3,3428.529,168.17690789473684
11628,24,6,6,783.823,78.5576052631579
11629,33,7,1,614.1623,16.162165789473683
11630,29,7,2,966.8622,42.57321052631579
11633,30,6,2,8485.756,240.43883684210525
11635,40,8,2,871.1179,43.55107631578947
11636,20,7,0,0.0,0.0
11637,35,8,5,6565.992,325.7718236842106
11638,25,8,2,783.823,33.93937368421052
11758,23,6,0,0.0,0.0
11771,31,6,2,826.8355,43.51765789473684
12007,30,8,1,783.823,20.626921052631577
12008,35,7,2,2761.45,100.48836842105263
12028,30,6,0,0.0,0.0
12104,63,8,5,2752.447,162.81576842105264
12125,33,6,4,1008.605,67.9802052631579
12138,31,7,4,904.32,84.8062947368421
12154,33,6,4,2761.45,174.64457894736842
12159,50,8,3,2752.447,85.74526842105263
12176,28,7,2,908.3955,23.905144736842104
12181,42,8,1,2160.913,56.86613157894737
12185,28,5,0,0.0,0.0
12186,34,7,6,8485.756,428.340602631579
